date,equity,cash,position,close,ATR,DC_upper,DC_lower,DC_exit_lower,stock,code
2023-10-24,5551.36,5551.36,0,21.55,0.8628,24.14,20.98,20.98,ST人福,600079
2023-10-25,5551.36,5551.36,0,20.43,0.8986,24.12,20.98,20.98,ST人福,600079
2023-10-26,5551.36,5551.36,0,20.55,0.8962,23.97,20.12,20.12,ST人福,600079
2023-10-27,5551.36,5551.36,0,21.98,0.9529,23.85,20.12,20.12,ST人福,600079
2023-10-30,5551.36,5551.36,0,22.72,0.9577,23.85,20.12,20.12,ST人福,600079
2023-10-31,5551.36,5551.36,0,22.46,0.9419,23.85,20.12,20.12,ST人福,600079
2023-11-01,5551.36,5551.36,0,22.33,0.9273,23.85,20.12,20.12,ST人福,600079
2023-11-02,5551.36,5551.36,0,22.53,0.9094,23.85,20.12,20.12,ST人福,600079
2023-11-03,5551.36,5551.36,0,22.35,0.8959,23.85,20.12,20.12,ST人福,600079
2023-11-06,5551.36,5551.36,0,23.03,0.8946,23.72,20.12,20.12,ST人福,600079
2023-11-07,5551.36,5551.36,0,22.92,0.8694,23.51,20.12,20.12,ST人福,600079
2023-11-08,5551.36,5551.36,0,23.54,0.8689,23.51,20.12,20.12,ST人福,600079
2023-11-09,5551.36,5551.36,0,23.14,0.8775,23.72,20.12,20.15,ST人福,600079
2023-11-10,5551.36,5551.36,0,23.35,0.8786,23.96,20.12,20.18,ST人福,600079
2023-11-13,5551.36,5551.36,0,22.89,0.8737,23.96,20.12,21.83,ST人福,600079
2023-11-14,5551.36,5551.36,0,22.45,0.859,23.96,20.12,21.99,ST人福,600079
2023-11-15,5551.36,5551.36,0,22.56,0.8405,23.96,20.12,21.99,ST人福,600079
2023-11-16,5551.36,5551.36,0,22.26,0.819,23.96,20.12,22.07,ST人福,600079
2023-11-17,5551.36,5551.36,0,22.64,0.8091,23.96,20.12,22.07,ST人福,600079
2023-11-20,5551.36,5551.36,0,22.87,0.7936,23.96,20.12,22.15,ST人福,600079
2023-11-21,5551.36,5551.36,0,22.77,0.7749,23.96,20.12,22.15,ST人福,600079
2023-11-22,5551.36,5551.36,0,22.86,0.7607,23.96,20.12,22.15,ST人福,600079
