date,symbol,name,open,close,high,low,volume
2019-03-26,00719,新华制药H,4.36,4.28,4.41,4.28,118600.0
2019-03-27,00719,新华制药H,4.31,4.32,4.41,4.27,422000.0
2019-03-28,00719,新华制药H,4.29,4.29,4.36,4.28,440000.0
2019-03-29,00719,新华制药H,4.24,4.35,4.47,4.24,571400.0
2019-04-01,00719,新华制药H,4.5,4.36,4.5,4.3,518800.0
2019-04-02,00719,新华制药H,4.38,4.45,4.46,4.38,622200.0
2019-04-03,00719,新华制药H,4.45,4.57,4.59,4.45,664800.0
2019-04-04,00719,新华制药H,4.6,4.56,4.61,4.52,601600.0
2019-04-08,00719,新华制药H,4.62,4.65,4.84,4.62,2991400.0
2019-04-09,00719,新华制药H,4.65,4.73,4.73,4.61,362000.0
2019-04-10,00719,新华制药H,4.7,4.89,4.92,4.66,1322000.0
2019-04-11,00719,新华制药H,4.91,4.75,4.91,4.67,592600.0
2019-04-12,00719,新华制药H,4.7,4.64,4.74,4.63,125600.0
2019-04-15,00719,新华制药H,4.68,4.67,4.73,4.66,439800.0
2019-04-16,00719,新华制药H,4.65,4.69,4.71,4.62,604000.0
2019-04-17,00719,新华制药H,4.69,4.69,4.69,4.65,264000.0
2019-04-18,00719,新华制药H,4.65,4.6,4.65,4.58,434000.0
2019-04-23,00719,新华制药H,4.51,4.55,4.55,4.41,412200.0
2019-04-24,00719,新华制药H,4.5,4.51,4.59,4.5,40000.0
2019-04-25,00719,新华制药H,4.45,4.27,4.5,4.26,830000.0
2019-04-26,00719,新华制药H,4.22,4.29,4.35,4.18,126600.0
2019-04-29,00719,新华制药H,4.35,4.19,4.35,4.19,31200.0
2019-04-30,00719,新华制药H,4.19,4.16,4.39,4.16,132000.0
2019-05-02,00719,新华制药H,4.25,4.21,4.3,4.2,30000.0
2019-05-03,00719,新华制药H,4.21,4.17,4.21,4.17,12000.0
2019-05-06,00719,新华制药H,4.18,4.04,4.18,4.0,342000.0
2019-05-07,00719,新华制药H,4.04,4.1,4.16,4.04,160800.0
2019-05-08,00719,新华制药H,4.1,4.13,4.28,4.1,824200.0
2019-05-09,00719,新华制药H,4.03,4.06,4.09,4.0,329000.0
2019-05-10,00719,新华制药H,4.06,4.08,4.15,4.02,164000.0
2019-05-14,00719,新华制药H,3.9,3.95,4.02,3.89,397000.0
2019-05-15,00719,新华制药H,3.99,4.0,4.07,3.99,87200.0
2019-05-16,00719,新华制药H,4.0,4.03,4.05,3.84,124600.0
2019-05-17,00719,新华制药H,3.96,3.99,4.03,3.95,115000.0
2019-05-20,00719,新华制药H,3.96,3.95,4.01,3.94,156600.0
2019-05-21,00719,新华制药H,3.96,3.95,4.0,3.91,177200.0
2019-05-22,00719,新华制药H,3.99,3.99,4.04,3.96,200000.0
2019-05-23,00719,新华制药H,3.92,4.0,4.0,3.88,396000.0
2019-05-24,00719,新华制药H,4.0,4.0,4.0,4.0,0.0
2019-05-27,00719,新华制药H,3.87,3.92,4.05,3.84,310000.0
2019-05-28,00719,新华制药H,3.83,3.94,4.0,3.83,1376600.0
2019-05-29,00719,新华制药H,3.9,3.89,3.95,3.89,47600.0
2019-05-30,00719,新华制药H,3.9,3.94,3.94,3.88,53400.0
2019-05-31,00719,新华制药H,3.91,3.89,3.95,3.8,682000.0
2019-06-03,00719,新华制药H,3.81,3.85,3.9,3.8,434000.0
2019-06-04,00719,新华制药H,3.81,3.82,3.9,3.81,56000.0
2019-06-05,00719,新华制药H,3.81,3.85,3.86,3.81,124600.0
2019-06-06,00719,新华制药H,3.82,3.81,3.84,3.81,677000.0
2019-06-10,00719,新华制药H,3.86,3.91,3.91,3.84,62000.0
2019-06-11,00719,新华制药H,3.94,3.93,3.95,3.88,217200.0
2019-06-12,00719,新华制药H,3.93,3.86,3.93,3.85,50000.0
2019-06-13,00719,新华制药H,3.83,3.83,3.86,3.75,393600.0
2019-06-14,00719,新华制药H,3.8,3.81,3.82,3.74,104000.0
2019-06-17,00719,新华制药H,3.81,3.8,3.81,3.74,31000.0
2019-06-18,00719,新华制药H,3.8,3.84,3.86,3.78,48000.0
2019-06-19,00719,新华制药H,3.84,3.88,3.9,3.84,104000.0
2019-06-20,00719,新华制药H,3.95,3.85,3.95,3.81,424600.0
2019-06-21,00719,新华制药H,3.9,3.91,3.92,3.85,294200.0
2019-06-24,00719,新华制药H,3.93,3.94,3.97,3.9,276000.0
2019-06-25,00719,新华制药H,3.94,3.91,3.94,3.89,82000.0
2019-06-26,00719,新华制药H,3.89,3.88,3.93,3.87,60000.0
2019-06-27,00719,新华制药H,3.93,3.86,3.93,3.84,154000.0
2019-06-28,00719,新华制药H,3.91,3.83,3.91,3.78,315000.0
2019-07-02,00719,新华制药H,3.95,3.89,3.95,3.86,194800.0
2019-07-03,00719,新华制药H,3.86,3.89,3.89,3.83,76000.0
2019-07-04,00719,新华制药H,3.94,3.88,3.94,3.86,65600.0
2019-07-05,00719,新华制药H,3.79,3.74,3.83,3.61,409400.0
2019-07-08,00719,新华制药H,3.74,3.67,3.79,3.64,254000.0
2019-07-09,00719,新华制药H,3.68,3.65,3.69,3.65,272000.0
2019-07-10,00719,新华制药H,3.66,3.65,3.72,3.6,852000.0
2019-07-11,00719,新华制药H,3.65,3.68,3.69,3.65,426600.0
2019-07-12,00719,新华制药H,3.68,3.65,3.7,3.65,126000.0
2019-07-15,00719,新华制药H,3.68,3.65,3.69,3.64,210000.0
2019-07-16,00719,新华制药H,3.68,3.65,3.68,3.64,410400.0
2019-07-17,00719,新华制药H,3.68,3.66,3.69,3.64,424000.0
2019-07-18,00719,新华制药H,3.66,3.68,3.71,3.66,407000.0
2019-07-19,00719,新华制药H,3.75,3.78,3.8,3.7,332160.0
2019-07-22,00719,新华制药H,3.78,3.72,3.8,3.72,254000.0
2019-07-23,00719,新华制药H,3.81,3.81,3.83,3.73,345000.0
2019-07-24,00719,新华制药H,3.85,3.82,3.86,3.8,154000.0
2019-07-25,00719,新华制药H,3.89,3.77,3.89,3.75,625000.0
2019-07-26,00719,新华制药H,3.76,3.8,3.8,3.73,106000.0
2019-07-29,00719,新华制药H,3.81,3.76,3.9,3.73,94000.0
2019-07-30,00719,新华制药H,3.86,3.81,3.86,3.77,76000.0
2019-07-31,00719,新华制药H,3.81,3.77,3.81,3.77,48000.0
2019-08-01,00719,新华制药H,3.76,3.68,3.76,3.65,200000.0
2019-08-02,00719,新华制药H,3.65,3.62,3.8,3.56,744000.0
2019-08-05,00719,新华制药H,3.59,3.58,3.59,3.53,124000.0
2019-08-06,00719,新华制药H,3.52,3.48,3.52,3.4,899000.0
2019-08-07,00719,新华制药H,3.48,3.48,3.49,3.46,26600.0
2019-08-08,00719,新华制药H,3.52,3.53,3.53,3.51,24000.0
2019-08-09,00719,新华制药H,3.56,3.45,3.56,3.45,412000.0
2019-08-12,00719,新华制药H,3.49,3.47,3.49,3.44,64000.0
2019-08-13,00719,新华制药H,3.38,3.43,3.45,3.38,89000.0
2019-08-14,00719,新华制药H,3.55,3.37,3.56,3.36,476000.0
2019-08-15,00719,新华制药H,3.32,3.35,3.38,3.32,290000.0
2019-08-16,00719,新华制药H,3.41,3.4,3.42,3.37,26000.0
2019-08-19,00719,新华制药H,3.49,3.6,3.6,3.49,262800.0
2019-08-20,00719,新华制药H,3.67,3.7,3.78,3.66,295800.0
2019-08-21,00719,新华制药H,3.73,3.64,3.73,3.62,217400.0
2019-08-22,00719,新华制药H,3.7,3.65,3.7,3.58,52000.0
2019-08-23,00719,新华制药H,3.74,3.68,3.74,3.61,53200.0
2019-08-26,00719,新华制药H,3.74,3.66,3.74,3.54,70000.0
2019-08-27,00719,新华制药H,3.67,3.67,3.71,3.62,154000.0
2019-08-28,00719,新华制药H,3.74,3.7,3.74,3.67,52000.0
2019-08-29,00719,新华制药H,3.71,3.69,3.71,3.6,24710.0
2019-08-30,00719,新华制药H,3.72,3.72,3.75,3.66,112000.0
2019-09-02,00719,新华制药H,3.66,3.75,3.75,3.66,220000.0
2019-09-03,00719,新华制药H,3.72,3.7,3.73,3.69,52000.0
2019-09-04,00719,新华制药H,3.73,3.75,3.75,3.71,128000.0
2019-09-05,00719,新华制药H,3.77,3.78,3.8,3.76,118000.0
2019-09-06,00719,新华制药H,3.78,3.78,3.8,3.75,88000.0
2019-09-09,00719,新华制药H,3.8,3.79,3.8,3.73,52400.0
2019-09-10,00719,新华制药H,3.79,3.78,3.79,3.75,98000.0
2019-09-11,00719,新华制药H,3.8,3.66,3.8,3.66,39000.0
2019-09-12,00719,新华制药H,3.72,3.72,3.86,3.72,28000.0
2019-09-13,00719,新华制药H,3.72,3.72,3.72,3.72,0.0
2019-09-16,00719,新华制药H,3.69,3.72,3.72,3.68,262000.0
2019-09-17,00719,新华制药H,3.72,3.7,3.72,3.63,252000.0
